CASE_NUMBER,Date Rptd,DATE OCC,TIME OCC,COD_AREA,Rpt Dist No,Part 1-2,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used Cd,Status,Status Desc,LOCATION,Cross Street,LAT,LON,Custom
201604833,1/20/2020,1/16/2020,1300,16,1654,2,956,35,M,H,502,-9,AO,Adult Other,12300 OSBORNE ST,,34.2647,-118.4019,1230 S OSBOR ST
201316163,8/29/2020,8/29/2020,130,13,1377,1,220,51,F,H,101,109,IC,Invest Cont,5500 MORGAN AV,,33.9913,-118.2446,5500 MORGAN AV
201708115,4/11/2020,4/10/2020,1400,17,1782,1,331,41,F,W,123,-9,IC,Invest Cont,19400 PARTHENIA ST,,34.2312,-118.5632,1940ST PARTHST
201605680,2/9/2020,2/9/2020,1305,16,1687,1,231,0,M,H,101,307,AA,Adult Arrest,STAGG ST,VINELAND BL,34.2121,-118.3703,STAGST ST
201513562,7/20/2020,7/15/2020,2300,15,1543,1,330,29,F,W,101,-9,IC,Invest Cont,5300 HERMITAGE AV,,34.1667,-118.4004,5300AV HERMITAV
201312575,6/20/2020,6/20/2020,2015,13,1303,1,648,0,M,O,101,-9,IC,Invest Cont,11TH ST,CENTRAL AV,34.031,-118.2448,11TH ST ST
201822582,12/24/2020,12/24/2020,1120,18,1846,2,626,39,F,B,502,400,IC,Invest Cont,1500 E 114TH ST,,33.9311,-118.2482,1500ST 114TH ST
201704417,1/9/2020,1/9/2020,1450,17,1743,1,442,0,X,X,406,-9,IC,Invest Cont,18500 DEVONSHIRE ST,,34.2609,-118.5346,1850 DEVON ST
201321629,12/23/2020,12/22/2020,200,13,1383,1,510,0,,,101,-9,IC,Invest Cont,200 W GAGE AV,,33.9858,-118.2739,200 AVGAGE AV
211406959,2/22/2021,11/26/2020,1700,14,1473,2,740,40,M,H,501,-9,IC,Invest Cont,82ND ST,83RD ST,33.9621,-118.4311,82ND ST ST
211808618,4/4/2021,1/21/2020,1200,18,1861,2,664,40,M,B,501,-9,IC,Invest Cont,11900 AINSWORTH ST,,33.9251,-118.2903,1190ST AINSWST
202107601,3/22/2020,3/21/2020,1830,21,2128,1,510,0,,,104,-9,IC,Invest Cont,7800 OSO AV,,34.2122,-118.5754,7800 OSO AV
201716510,12/22/2020,12/19/2020,1500,17,1788,1,420,0,,,108,-9,IC,Invest Cont,8900 BALBOA BL,,34.2322,-118.5113,8900 BALBOA BL
201607334,3/22/2020,3/20/2020,1500,16,1668,1,420,0,,,101,-9,IC,Invest Cont,9400 REVERIE RD,,34.2407,-118.2947,9400 R REVERI RD
201509575,5/5/2020,5/4/2020,1750,15,1529,2,624,35,F,B,119,400,AO,Adult Other,6000 CRANER AV,,34.1794,-118.3692,6000 CRANER AV
201415770,8/19/2020,8/19/2020,2200,14,1494,2,888,0,X,X,212,-9,IC,Invest Cont,300 WORLD WAY,,33.9449,-118.4061,300 WORLD WWAY
201310438,5/5/2020,5/4/2020,2200,13,1341,1,330,28,M,H,101,-9,IC,Invest Cont,MAIN ST,42ND ST,34.0155,-118.2772,MAIN ST ST
201314131,7/18/2020,7/17/2020,1900,13,1322,1,510,0,,,101,-9,IC,Invest Cont,400 E ADAMS BL,,34.0233,-118.2651,400 BLADAMS BL
201419056,10/21/2020,10/12/2020,900,14,1452,2,354,56,F,B,501,-9,IC,Invest Cont,3400 VIA DOLCE,,33.9809,-118.4633,3400 VIA DOLCE
201411482,5/27/2020,5/21/2020,2130,14,1441,1,341,49,F,W,501,-9,IC,Invest Cont,00 27TH AV,,33.9814,-118.4682,00 7TH AV
201909292,4/30/2020,4/21/2020,1500,19,1915,1,420,0,,,101,-9,IC,Invest Cont,14100 AZTEC ST,,34.2987,-118.4417,1410 AZTECST
201913252,8/13/2020,8/13/2020,1240,19,1998,1,442,0,X,X,243,-9,IC,Invest Cont,7800 VAN NUYS BL,,34.2153,-118.4409,7800 BL VAN NU BL
202008343,4/7/2020,4/4/2020,630,20,2015,1,341,0,X,X,118,-9,IC,Invest Cont,200 N VERMONT AV,,34.0745,-118.296,200 VERMONT AV
202113089,8/25/2020,7/24/2020,1724,21,2173,1,510,0,,,108,-9,IC,Invest Cont,22800 W VENTURA BL,,34.1658,-118.6239,2280 VENTU BL
202009037,4/26/2020,4/26/2020,1817,20,2029,2,624,17,M,H,102,400,IC,Invest Cont,6TH ST,OCCIDENTAL,34.0652,-118.2878,6TH S ST
201817888,9/28/2020,9/27/2020,1930,18,1821,1,510,0,,,101,-9,IC,Invest Cont,600 W 98TH ST,,33.9471,-118.2852,600 ST98TH ST
201420478,11/18/2020,10/27/2020,1337,14,1409,1,440,36,M,H,504,-9,IC,Invest Cont,3600 WATSEKA AV,,34.0272,-118.3991,3600 A WATSEK AV
201515693,9/28/2020,9/14/2020,2000,15,1535,1,420,23,F,W,101,-9,IC,Invest Cont,TIARA,TUJUNGA,34.1785,-118.379,TIARARA
