DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201805565,2020 Jan 29 12:00:00 AM,2020 Jan 29 12:00:00 AM,1730,18,Southeast,1849,1,210,ROBBERY,0344 0355 0400 0416 0417 1822 0216,33,F,H,102,SIDEWALK,303,BRASS KNUCKLES,IC,Invest Cont,210,,,,IMPERIAL                     HY,WILMINGTON                   AV,33.9294,-118.2391
201318660,2020 Oct 19 12:00:00 AM,2020 Oct 18 12:00:00 AM,2215,13,Newton,1394,1,210,ROBBERY,0913 0344 2000 1309 0446 1814,22,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,626,,,FLORENCE                     AV,SAN PEDRO                    ST,33.9747,-118.2696
201813391,2020 Jul 02 12:00:00 AM,2020 Jul 01 12:00:00 AM,1500,18,Southeast,1801,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0329 0344 0385,0,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,331,,,,8600    DENVER                       AV,,33.9587,-118.2839
202016731,2020 Nov 04 12:00:00 AM,2020 Nov 04 12:00:00 AM,1120,20,Olympic,2076,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0603 0202 0411 0416 0445 0334,43,M,A,203,OTHER BUSINESS,223,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,230,,,,2700 W  PICO                         BL,,34.0473,-118.2979
201605951,2020 Feb 17 12:00:00 AM,2020 Feb 17 12:00:00 AM,600,16,Foothill,1633,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,CHIVERS                      AV,TERRA BELLA,34.2707,-118.4013
201507072,2020 Mar 02 12:00:00 AM,2020 Mar 02 12:00:00 AM,1300,15,N Hollywood,1585,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 2004,29,M,B,101,STREET,,,IC,Invest Cont,740,,,,4100    FAIR                         AV,,34.1456,-118.3747
201705581,2020 Feb 06 12:00:00 AM,2020 Jan 22 12:00:00 AM,1000,17,Devonshire,1735,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,28,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,17400    LOS ALIMOS                   ST,,34.2661,-118.5132
201715248,2020 Nov 11 12:00:00 AM,2020 Nov 08 12:00:00 AM,1700,17,Devonshire,1761,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,9500    FARRALONE                    AV,,34.2427,-118.6104
201519097,2020 Dec 28 12:00:00 AM,2020 Dec 26 12:00:00 AM,1500,15,N Hollywood,1514,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6800    BEN                          AV,,34.194,-118.3943
241306067,2024 Feb 14 12:00:00 AM,2020 Jan 01 12:00:00 AM,1300,13,Newton,1351,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0913 1251 0554,7,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,VERNON                       AV,MAIN                         ST,34.0038,-118.274
201713450,2020 Sep 20 12:00:00 AM,2020 Sep 20 12:00:00 AM,1600,17,Devonshire,1785,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,32,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,8900    WILBUR                       AV,,34.2319,-118.5448
202013327,2020 Aug 11 12:00:00 AM,2020 Aug 11 12:00:00 AM,200,20,Olympic,2015,1,310,BURGLARY,0202 1607 1822 0344,34,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,100 N  ALEXANDRIA                   AV,,34.0728,-118.2984
201314320,2020 Jul 22 12:00:00 AM,2020 Jul 22 12:00:00 AM,430,13,Newton,1323,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000 0913,35,M,B,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,24TH                         ST,CENTRAL                      AV,34.0216,-118.2564
201508164,2020 Mar 30 12:00:00 AM,2020 Mar 30 12:00:00 AM,45,15,N Hollywood,1555,1,761,BRANDISH WEAPON,0910 1266 2004 0334 1402 1822,0,F,H,913,MTA - RED LINE - NORTH HOLLYWOOD,200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,761,998,,,11300    MAGNOLIA                     BL,,34.1649,-118.3774
201407454,2020 Feb 29 12:00:00 AM,2020 Feb 29 12:00:00 AM,1447,14,Pacific,1441,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,2400    BRYAN                        AV,,33.9866,-118.4571
201414872,2020 Aug 04 12:00:00 AM,2020 Jun 24 12:00:00 AM,1330,14,Pacific,1497,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",344,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,5500 W  CENTURY                      BL,,33.9453,-118.3769
202015114,2020 Sep 25 12:00:00 AM,2020 May 15 12:00:00 AM,2200,20,Olympic,2021,1,330,BURGLARY FROM VEHICLE,1202 1822 0321 0358 0386 0344 0377 1607,71,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,500 S  WINDSOR                      BL,,34.0636,-118.3214
201409482,2020 Apr 10 12:00:00 AM,2020 Apr 09 12:00:00 AM,1,14,Pacific,1443,1,330,BURGLARY FROM VEHICLE,1609 0344,20,F,W,707,GARAGE/CARPORT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,1600    VENICE                       BL,,33.9928,-118.4513
202013074,2020 Aug 06 12:00:00 AM,2020 Aug 06 12:00:00 AM,300,20,Olympic,2097,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900 S  MARIPOSA                     AV,,34.0395,-118.2984
